date,safegraph_place,visitor_home_cbg,number
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076105061,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110122,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076104001,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076106011,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110041,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076106043,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,240217523033,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076112042,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110061,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076103002,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511539014032,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110151,4
2019-01-07,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110252,4
2019-01-07,sg:7d64b4f487984b6b82ff9d40894128df,
2019-01-07,sg:518ecccae67f40b087a4666701bf6f88,511076110111,4
2019-01-07,sg:518ecccae67f40b087a4666701bf6f88,511076110151,4
2019-01-07,sg:197c0510c70f485caff5e11a99a44064,511076110041,6
2019-01-07,sg:197c0510c70f485caff5e11a99a44064,511076110092,5
2019-01-07,sg:197c0510c70f485caff5e11a99a44064,511076119001,4
2019-01-07,sg:197c0510c70f485caff5e11a99a44064,511076110093,4
2019-01-07,sg:197c0510c70f485caff5e11a99a44064,511076110062,4
2019-01-07,sg:197c0510c70f485caff5e11a99a44064,511076110121,4
2019-01-07,sg:197c0510c70f485caff5e11a99a44064,511076103003,4
2019-01-07,sg:d737927cfcb44f55bc76d81a62103970,511076101022,4
2019-01-07,sg:8144cd3a2ac44a03a4e764b739d27355,511076110132,5
2019-01-07,sg:8144cd3a2ac44a03a4e764b739d27355,511076105073,5
2019-01-07,sg:8144cd3a2ac44a03a4e764b739d27355,511076110052,4
2019-01-07,sg:8144cd3a2ac44a03a4e764b739d27355,511076110062,4
2019-01-07,sg:8144cd3a2ac44a03a4e764b739d27355,511076110092,4
2019-01-07,sg:8144cd3a2ac44a03a4e764b739d27355,511076110122,4
2019-01-07,sg:8144cd3a2ac44a03a4e764b739d27355,511076112052,4
